"budget","MAX_Health","MAX_FRP","MAX_Equity","int_n_list","no_int_n_list"
10000000,1,NA,NA,"5, 6, 10, 11, 12, 15, 16, 18, 19","1, 2, 3, 4, 7, 8, 9, 13, 14, 17, 20"
10000000,NA,1,NA,"4, 5, 6, 12, 15, 16, 18, 19","1, 2, 3, 7, 8, 9, 10, 11, 13, 14, 17, 20"
10000000,NA,NA,1,"5, 6, 7, 8, 13","1, 2, 3, 4, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20"
32500000,1,NA,NA,"2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19","1, 3, 17, 20"
32500000,NA,1,NA,"4, 5, 6, 10, 11, 12, 13, 14, 17, 18, 19","1, 2, 3, 7, 8, 9, 15, 16, 20"
32500000,NA,NA,1,"3, 5, 6, 7, 8, 11, 12, 13, 14, 19","1, 2, 4, 9, 10, 15, 16, 17, 18, 20"
55000000,1,NA,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19","17, 20"
55000000,NA,1,NA,"1, 4, 5, 6, 10, 11, 12, 13, 16, 17, 18, 19, 20","2, 3, 7, 8, 9, 14, 15"
55000000,NA,NA,1,"3, 5, 6, 7, 8, 12, 13, 14, 18, 19, 20","1, 2, 4, 9, 10, 11, 15, 16, 17"
77500000,1,NA,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20","17"
77500000,NA,1,NA,"3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20","1, 2, 7"
77500000,NA,NA,1,"1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 18, 19, 20","2, 9, 10, 11, 15, 16, 17"
100000000,1,1,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",""
100000000,NA,NA,1,"1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 18, 19, 20","2, 9, 10, 11, 15, 16, 17"
200000000,1,1,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",""
200000000,NA,NA,1,"1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 18, 19, 20","2, 9, 10, 11, 15, 16, 17"
300000000,1,1,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",""
300000000,NA,NA,1,"1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 18, 19, 20","2, 9, 10, 11, 15, 16, 17"
400000000,1,1,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",""
400000000,NA,NA,1,"1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 18, 19, 20","2, 9, 10, 11, 15, 16, 17"
500000000,1,1,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",""
500000000,NA,NA,1,"1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 18, 19, 20","2, 9, 10, 11, 15, 16, 17"
600000000,1,1,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",""
600000000,NA,NA,1,"1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 18, 19, 20","2, 9, 10, 11, 15, 16, 17"
700000000,1,1,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",""
700000000,NA,NA,1,"1, 3, 4, 5, 6, 7, 8, 12, 13, 14, 18, 19, 20","2, 9, 10, 11, 15, 16, 17"
